Years,In millions of dollars:,National Defense,Human resources,"Education, Training, Employment, and Social Services",Health,Medicare,Income Security,Social Security,(On-budget),(Off-budget),Veterans Benefits and Services,Physical resources,Energy,Natural Resources and Environment,Commerce and Housing Credit,(On-budget),(Off-budget),Transportation,Community and Regional Development,Net interest,(On-budget),(Off-budget),Other functions,International Affairs,"General Science, Space, and Technology",Agriculture,Administration of Justice,General Government,Allowances,Undistributed offsetting receipts,(On-budget),(Off-budget),"Total, Federal outlays",(On-budget),(Off-budget),As percentages of outlays:,National defense,Human resources,Physical resources,Net interest,Other functions,Undistributed offsetting receipts,"Total, Federal outlays",(On-budget),(Off-budget),As percentages of GDP:,National defense,Human resources,Physical resources,Net interest,Other functions,Undistributed offsetting receipts,"Total, Federal outlays",(On-budget),(Off-budget),* 0.05 percent or less
1960,,"48,130","26,184",968,795,..........,"7,378","11,602",..........,"11,602","5,441","7,991",464,"1,559","1,618","1,618",..........,"4,126",224,"6,947","7,511",-563,"7,760","2,988",599,"2,623",366,"1,184",..........,"-4,820","-4,632",-188,"92,191","81,341","10,850",,52.2,28.4,8.7,7.5,8.4,-5.2,100.0,88.2,11.8,,9.0,4.9,1.5,1.3,1.5,-0.9,17.3,15.2,2.0,
1961,,"49,601","29,838","1,063",913,..........,"9,683","12,474",..........,"12,474","5,705","7,754",510,"1,779","1,203","1,203",..........,"3,987",275,"6,716","7,307",-591,"8,621","3,184","1,042","2,641",400,"1,354",..........,"-4,807","-4,601",-206,"97,723","86,046","11,677",,50.8,30.5,7.9,6.9,8.8,-4.9,100.0,88.1,11.9,,9.1,5.5,1.4,1.2,1.6,-0.9,17.9,15.7,2.1,
1962,,"52,345","31,630","1,241","1,198",..........,"9,207","14,365",..........,"14,365","5,619","8,831",604,"2,044","1,424","1,424",..........,"4,290",469,"6,889","7,498",-609,"12,401","5,639","1,723","3,562",429,"1,049",..........,"-5,274","-5,053",-221,"106,821","93,286","13,535",,49.0,29.6,8.3,6.4,11.6,-4.9,100.0,87.3,12.7,,8.9,5.4,1.5,1.2,2.1,-0.9,18.2,15.9,2.3,
1963,,"53,400","33,522","1,458","1,451",..........,"9,311","15,788",..........,"15,788","5,514","8,013",530,"2,251",62,62,..........,"4,596",574,"7,740","8,322",-582,"14,437","5,308","3,051","4,384",465,"1,230",..........,"-5,797","-5,555",-242,"111,316","96,352","14,964",,48.0,30.1,7.2,7.0,13.0,-5.2,100.0,86.6,13.4,,8.6,5.4,1.3,1.3,2.3,-0.9,18.0,15.6,2.4,
1964,,"54,757","35,294","1,555","1,788",..........,"9,657","16,620",..........,"16,620","5,675","9,528",572,"2,364",418,418,..........,"5,242",933,"8,199","8,805",-607,"16,458","4,945","4,897","4,609",489,"1,518",..........,"-5,708","-5,429",-279,"118,528","102,794","15,734",,46.2,29.8,8.0,6.9,13.9,-4.8,100.0,86.7,13.3,,8.3,5.3,1.4,1.2,2.5,-0.9,17.9,15.5,2.4,
1965,,"50,620","36,576","2,140","1,791",..........,"9,469","17,460",..........,"17,460","5,716","11,264",699,"2,531","1,157","1,157",..........,"5,763","1,114","8,591","9,239",-648,"17,086","5,273","5,823","3,954",536,"1,499",..........,"-5,908","-5,626",-282,"118,228","101,699","16,529",,42.8,30.9,9.5,7.3,14.5,-5.0,100.0,86.0,14.0,,7.1,5.2,1.6,1.2,2.4,-0.8,16.7,14.3,2.3,
1966,,"58,111","43,257","4,363","2,543",64,"9,678","20,694",..........,"20,694","5,916","13,410",612,"2,719","3,245","3,245",..........,"5,730","1,105","9,386","10,028",-642,"16,911","5,580","6,717","2,447",564,"1,603",..........,"-6,542","-6,205",-337,"134,532","114,817","19,715",,43.2,32.2,10.0,7.0,12.6,-4.9,100.0,85.3,14.7,,7.4,5.5,1.7,1.2,2.2,-0.8,17.2,14.7,2.5,
1967,,"71,417","51,272","6,453","3,351","2,748","10,261","21,725",94,"21,631","6,735","14,674",782,"2,869","3,979","3,979",..........,"5,936","1,108","10,268","11,060",-792,"17,126","5,566","6,233","2,990",618,"1,719",..........,"-7,294","-6,879",-415,"157,464","137,040","20,424",,45.4,32.6,9.3,6.5,10.9,-4.6,100.0,87.0,13.0,,8.5,6.1,1.8,1.2,2.0,-0.9,18.8,16.4,2.4,
1968,,"81,926","59,375","7,634","4,390","4,649","11,816","23,854",94,"23,760","7,032","16,002","1,037","2,988","4,280","4,280",..........,"6,316","1,382","11,090","12,069",-979,"17,786","5,301","5,524","4,544",659,"1,757",..........,"-8,045","-7,600",-445,"178,134","155,798","22,336",,46.0,33.3,9.0,6.2,10.0,-4.5,100.0,87.5,12.5,,9.1,6.6,1.8,1.2,2.0,-0.9,19.8,17.4,2.5,
1969,,"82,497","66,410","7,548","5,162","5,695","13,076","27,298",414,"26,885","7,631","11,869","1,010","2,900",-119,-119,..........,"6,526","1,552","12,699","13,848","-1,149","18,151","4,600","5,020","5,826",766,"1,939",..........,"-7,986","-7,454",-532,"183,640","158,436","25,204",,44.9,36.2,6.5,6.9,9.9,-4.3,100.0,86.3,13.7,,8.4,6.8,1.2,1.3,1.9,-0.8,18.7,16.2,2.6,
1970,,"81,692","75,349","8,634","5,907","6,213","15,655","30,270",458,"29,812","8,669","15,574",997,"3,065","2,112","2,112",..........,"7,008","2,392","14,380","15,948","-1,568","17,286","4,330","4,511","5,166",959,"2,320",..........,"-8,632","-7,995",-637,"195,649","168,042","27,607",,41.8,38.5,8.0,7.4,8.8,-4.4,100.0,85.9,14.1,,7.8,7.2,1.5,1.4,1.7,-0.8,18.7,16.1,2.6,
1971,,"78,872","91,901","9,849","6,843","6,622","22,946","35,872",465,"35,408","9,768","18,286","1,035","3,915","2,366","2,366",..........,"8,052","2,917","14,841","16,783","-1,942","16,379","4,159","4,182","4,290","1,307","2,442",..........,"-10,107","-9,467",-640,"210,172","177,346","32,826",,37.5,43.7,8.7,7.1,7.8,-4.8,100.0,84.4,15.6,,7.1,8.2,1.6,1.3,1.5,-0.9,18.8,15.9,2.9,
1972,,"79,174","107,211","12,529","8,674","7,479","27,650","40,157",538,"39,620","10,720","19,574","1,296","4,241","2,222","1,867",355,"8,392","3,423","15,478","17,584","-2,106","18,828","4,781","4,175","5,227","1,684","2,960",..........,"-9,583","-8,926",-657,"230,681","193,470","37,212",,34.3,46.5,8.5,6.7,8.2,-4.2,100.0,83.9,16.1,,6.5,8.8,1.6,1.3,1.5,-0.8,19.0,15.9,3.1,
1973,,"76,681","119,522","12,744","9,356","8,052","28,278","49,090",526,"48,565","12,003","20,614","1,237","4,775",931,774,157,"9,066","4,605","17,349","19,629","-2,280","24,950","4,149","4,032","4,821","2,174","9,774",..........,"-13,409","-12,714",-695,"245,707","199,961","45,746",,31.2,48.6,8.4,7.1,10.2,-5.5,100.0,81.4,18.6,,5.7,8.8,1.5,1.3,1.8,-1.0,18.2,14.8,3.4,
1974,,"79,347","135,783","12,455","10,733","9,639","33,714","55,867",494,"55,373","13,374","25,106","1,303","5,697","4,705","3,932",773,"9,172","4,229","21,449","23,969","-2,520","24,423","5,710","3,980","2,194","2,505","10,032",..........,"-16,749","-15,985",-764,"269,359","216,496","52,862",,29.5,50.4,9.3,8.0,9.1,-6.2,100.0,80.4,19.6,,5.4,9.2,1.7,1.4,1.6,-1.1,18.2,14.6,3.6,
1975,,"86,509","173,245","16,022","12,930","12,875","50,176","64,658",499,"64,159","16,584","35,449","2,916","7,346","9,947","8,835","1,112","10,918","4,322","23,244","26,047","-2,803","27,487","7,097","3,991","2,997","3,028","10,374",..........,"-13,602","-12,686",-916,"332,332","270,780","61,552",,26.0,52.1,10.7,7.0,8.3,-4.1,100.0,81.5,18.5,,5.4,10.8,2.2,1.4,1.7,-0.8,20.7,16.9,3.8,
1976,,"89,619","203,594","18,910","15,734","15,834","60,799","73,899",515,"73,384","18,419","39,188","4,204","8,184","7,619","6,534","1,085","13,739","5,442","26,727","29,539","-2,812","27,050","6,433","4,373","3,109","3,430","9,706",..........,"-14,386","-13,423",-963,"371,792","301,098","70,695",,24.1,54.8,10.5,7.2,7.3,-3.9,100.0,81.0,19.0,,5.0,11.4,2.2,1.5,1.5,-0.8,20.8,16.9,4.0,
TQ,,"22,269","52,065","5,169","3,924","4,264","14,985","19,763",..........,"19,763","3,960","9,512","1,129","2,524",931,"1,657",-726,"3,358","1,569","6,949","7,042",-93,"9,388","2,458","1,162",972,918,"3,878",..........,"-4,206","-3,957",-249,"95,975","77,281","18,695",,23.2,54.2,9.9,7.2,9.8,-4.4,100.0,80.5,19.5,,4.7,11.0,2.0,1.5,2.0,-0.9,20.3,16.4,4.0,
1977,,"97,241","221,895","21,104","17,302","19,345","61,060","85,061",717,"84,344","18,022","40,746","5,770","10,032","3,093","3,266",-173,"14,829","7,021","29,901","32,551","-2,650","34,315","6,353","4,736","6,734","3,701","12,791",..........,"-14,879","-13,902",-977,"409,218","328,675","80,543",,23.8,54.2,10.0,7.3,8.4,-3.6,100.0,80.3,19.7,,4.8,11.0,2.0,1.5,1.7,-0.7,20.2,16.2,4.0,
1978,,"104,495","242,329","26,706","18,524","22,768","61,509","93,861",741,"93,120","18,961","52,590","7,991","10,983","6,254","6,750",-496,"15,521","11,841","35,458","37,860","-2,403","39,594","7,482","4,926","11,301","3,923","11,961",..........,"-15,720","-14,660","-1,060","458,746","369,585","89,161",,22.8,52.8,11.5,7.7,8.6,-3.4,100.0,80.6,19.4,,4.6,10.7,2.3,1.6,1.7,-0.7,20.2,16.3,3.9,
1979,,"116,342","267,574","30,218","20,494","26,495","66,382","104,073",757,"103,316","19,914","54,559","9,179","12,135","4,686","5,577",-891,"18,079","10,480","42,633","44,857","-2,224","40,396","7,459","5,234","11,176","4,286","12,241",..........,"-17,476","-16,362","-1,114","504,028","404,941","99,087",,23.1,53.1,10.8,8.5,8.0,-3.5,100.0,80.3,19.7,,4.5,10.4,2.1,1.7,1.6,-0.7,19.6,15.8,3.9,
1980,,"133,995","313,374","31,835","23,169","32,090","86,565","118,547",675,"117,872","21,169","65,985","10,156","13,858","9,390","9,821",-431,"21,329","11,252","52,533","54,872","-2,339","44,996","12,714","5,831","8,774","4,702","12,975",..........,"-19,942","-18,738","-1,204","590,941","477,044","113,898",,22.7,53.0,11.2,8.9,7.6,-3.4,100.0,80.7,19.3,,4.8,11.2,2.4,1.9,1.6,-0.7,21.2,17.1,4.1,
1981,,"157,513","362,022","33,146","26,866","39,149","100,304","139,584",670,"138,914","22,973","70,886","15,166","13,568","8,206","8,117",89,"23,379","10,568","68,766","71,054","-2,288","47,095","13,104","6,468","11,241","4,908","11,373",..........,"-28,041","-26,611","-1,430","678,241","542,956","135,285",,23.2,53.4,10.5,10.1,6.9,-4.1,100.0,80.1,19.9,,5.0,11.6,2.3,2.2,1.5,-0.9,21.6,17.3,4.3,
1982,,"185,309","388,681","26,609","27,445","46,567","108,158","155,964",844,"155,120","23,938","61,752","13,527","12,998","6,256","6,809",-553,"20,625","8,347","85,032","87,102","-2,071","51,068","12,300","7,199","15,866","4,842","10,861",..........,"-26,099","-24,453","-1,646","745,743","594,892","150,851",,24.8,52.1,8.3,11.4,6.8,-3.5,100.0,79.8,20.2,,5.6,11.7,1.9,2.6,1.5,-0.8,22.5,18.0,4.6,
1983,,"209,903","426,011","26,194","28,641","52,588","123,041","170,724","19,993","150,731","24,824","57,603","9,353","12,672","6,681","6,359",322,"21,334","7,564","89,808","91,653","-1,845","59,015","11,848","7,934","22,807","5,246","11,181",..........,"-33,976","-32,198","-1,778","808,364","660,934","147,430",,26.0,52.7,7.1,11.1,7.3,-4.2,100.0,81.8,18.2,,5.9,12.0,1.6,2.5,1.7,-1.0,22.9,18.7,4.2,
1984,,"227,411","432,076","26,916","30,417","57,540","113,405","178,223","7,056","171,167","25,575","57,960","7,073","12,586","6,959","6,599",360,"23,669","7,673","111,102","114,411","-3,310","55,214","15,869","8,311","13,477","5,811","11,746",..........,"-31,957","-29,913","-2,044","851,805","685,632","166,173",,26.7,50.7,6.8,13.0,6.5,-3.8,100.0,80.5,19.5,,5.8,10.9,1.5,2.8,1.4,-0.8,21.6,17.4,4.2,
1985,,"252,743","471,859","28,589","33,541","65,822","129,032","188,623","5,189","183,434","26,251","56,804","5,608","13,345","4,337","4,195",142,"25,838","7,676","129,478","133,595","-4,118","68,160","16,169","8,622","25,427","6,426","11,515",..........,"-32,698","-30,189","-2,509","946,344","769,396","176,949",,26.7,49.9,6.0,13.7,7.2,-3.5,100.0,81.3,18.7,,5.9,11.1,1.3,3.0,1.6,-0.8,22.2,18.0,4.1,
1986,,"273,373","481,625","29,773","35,933","70,164","120,685","198,756","8,072","190,684","26,314","58,722","4,690","13,628","5,058","5,016",42,"28,113","7,233","136,017","140,346","-4,329","73,652","14,146","8,962","31,319","6,735","12,491",..........,"-33,007","-30,150","-2,857","990,382","806,842","183,540",,27.6,48.6,5.9,13.7,7.4,-3.3,100.0,81.5,18.5,,6.0,10.6,1.3,3.0,1.6,-0.7,21.9,17.8,4.1,
1987,,"281,996","502,220","28,918","39,964","75,120","124,137","207,352","4,930","202,422","26,729","55,132","4,072","13,355","6,434","5,492",943,"26,222","5,049","138,611","143,901","-5,290","62,513","11,645","9,200","26,466","7,715","7,487",..........,"-36,455","-33,155","-3,300","1,004,017","809,243","194,774",,28.1,50.0,5.5,13.8,6.2,-3.6,100.0,80.6,19.4,,5.9,10.5,1.2,2.9,1.3,-0.8,21.1,17.0,4.1,
1988,,"290,360","533,426","30,928","44,483","78,878","130,430","219,341","4,852","214,489","29,367","68,625","2,296","14,601","19,163","17,451","1,712","27,272","5,293","151,803","159,219","-7,416","57,169","10,466","10,820","17,088","9,397","9,399",..........,"-36,967","-32,585","-4,382","1,064,416","860,012","204,404",,27.3,50.1,6.4,14.3,5.4,-3.5,100.0,80.8,19.2,,5.7,10.4,1.3,3.0,1.1,-0.7,20.7,16.7,4.0,
1989,,"303,555","568,803","35,325","48,380","84,964","137,589","232,542","5,069","227,473","30,003","81,553","2,705","16,169","29,709","30,019",-310,"27,608","5,362","168,981","180,376","-11,395","58,063","9,583","12,821","16,698","9,644","9,317",..........,"-37,212","-32,354","-4,858","1,143,743","932,832","210,911",,26.5,49.7,7.1,14.8,5.1,-3.3,100.0,81.6,18.4,,5.5,10.2,1.5,3.0,1.0,-0.7,20.6,16.8,3.8,
1990,,"299,321","619,463","37,167","57,699","98,102","148,838","248,623","3,625","244,998","29,034","126,011","3,341","17,055","67,599","65,973","1,626","29,485","8,531","184,347","200,338","-15,991","60,468","13,758","14,426","11,637","10,185","10,462",..........,"-36,615","-31,048","-5,567","1,252,993","1,027,928","225,065",,23.9,49.4,10.1,14.7,4.8,-2.9,100.0,82.0,18.0,,5.1,10.5,2.1,3.1,1.0,-0.6,21.2,17.4,3.8,
1991,,"273,285","689,810","41,231","71,168","104,489","172,633","269,014","2,619","266,395","31,275","135,159","2,436","18,544","76,270","74,953","1,317","31,099","6,810","194,448","214,670","-20,222","70,879","15,846","16,092","14,886","12,486","11,568",..........,"-39,356","-33,553","-5,804","1,324,226","1,082,539","241,687",,20.6,52.1,10.2,14.7,5.4,-3.0,100.0,81.7,18.3,,4.5,11.3,2.2,3.2,1.2,-0.6,21.7,17.8,4.0,
1992,,"298,346","772,599","42,735","89,486","119,024","199,732","287,584","6,166","281,418","34,037","75,586","4,499","20,001","10,918","10,260",659,"33,332","6,836","199,344","222,981","-23,637","74,934","16,090","16,389","14,922","14,650","12,883",..........,"-39,280","-33,179","-6,101","1,381,529","1,129,191","252,338",,21.6,55.9,5.5,14.4,5.4,-2.8,100.0,81.7,18.3,,4.6,12.0,1.2,3.1,1.2,-0.6,21.5,17.6,3.9,
1993,,"291,084","827,691","47,374","99,401","130,552","210,137","304,585","6,236","298,349","35,642","46,841","4,319","20,224","-21,853","-23,294","1,441","35,004","9,146","198,713","225,501","-26,788","82,443","17,218","17,006","20,081","15,193","12,944",..........,"-37,386","-30,970","-6,416","1,409,386","1,142,799","266,587",,20.7,58.7,3.3,14.1,5.8,-2.7,100.0,81.1,18.9,,4.3,12.2,0.7,2.9,1.2,-0.6,20.8,16.9,3.9,
1994,,"281,640","869,550","43,281","107,107","144,747","217,290","319,565","5,683","313,881","37,559","70,677","5,218","21,000","-4,228","-5,331","1,103","38,066","10,620","202,932","232,135","-29,203","74,725","17,067","16,189","14,795","15,516","11,159",..........,"-37,772","-31,362","-6,409","1,461,752","1,182,380","279,372",,19.3,59.5,4.8,13.9,5.1,-2.6,100.0,80.9,19.1,,3.9,12.1,1.0,2.8,1.0,-0.5,20.4,16.5,3.9,
1995,,"272,063","923,788","51,020","115,399","159,855","223,806","335,846","5,476","330,370","37,862","59,113","4,936","21,889","-17,808","-15,839","-1,969","39,350","10,746","232,134","265,439","-33,305","73,099","16,429","16,692","9,671","16,508","13,799",..........,"-44,455","-38,023","-6,432","1,515,742","1,227,078","288,664",,17.9,60.9,3.9,15.3,4.8,-2.9,100.0,81.0,19.0,,3.6,12.2,0.8,3.1,1.0,-0.6,20.0,16.2,3.8,
1996,,"265,748","958,274","48,311","119,365","174,225","229,746","349,671","5,802","343,869","36,956","64,170","2,839","21,503","-10,478","-10,298",-180,"39,565","10,741","241,053","277,560","-36,507","68,859","13,487","16,684","9,035","17,898","11,755",..........,"-37,620","-31,342","-6,278","1,560,484","1,259,580","300,904",,17.0,61.4,4.1,15.4,4.4,-2.4,100.0,80.7,19.3,,3.3,12.1,0.8,3.0,0.9,-0.5,19.6,15.8,3.8,
1997,,"270,502","1,002,389","48,972","123,832","190,016","235,035","365,251","6,879","358,372","39,283","59,852","1,475","21,201","-14,640","-14,591",-49,"40,767","11,049","243,984","285,198","-41,214","74,362","15,173","17,136","8,889","20,617","12,547",..........,"-49,973","-43,490","-6,483","1,601,116","1,290,490","310,626",,16.9,62.6,3.7,15.2,4.6,-3.1,100.0,80.6,19.4,,3.2,11.9,0.7,2.9,0.9,-0.6,18.9,15.3,3.7,
1998,,"268,194","1,033,465","50,512","131,425","192,822","237,750","379,215","9,146","370,069","41,741","74,669","1,270","22,278","1,007",790,217,"40,343","9,771","241,118","287,748","-46,630","82,206","13,054","18,172","12,077","23,359","15,544",..........,"-47,194","-40,142","-7,052","1,652,458","1,335,854","316,604",,16.2,62.5,4.5,14.6,5.0,-2.9,100.0,80.8,19.2,,3.0,11.6,0.8,2.7,0.9,-0.5,18.5,15.0,3.5,
1999,,"274,769","1,057,770","50,605","141,048","190,447","242,478","390,037","10,824","379,213","43,155","81,892",911,"23,943","2,641","1,620","1,021","42,532","11,865","229,755","281,826","-52,071","98,101","15,239","18,084","22,879","26,536","15,363",..........,"-40,445","-33,060","-7,385","1,701,842","1,381,064","320,778",,16.1,62.2,4.8,13.5,5.8,-2.4,100.0,81.2,18.8,,2.9,11.2,0.9,2.4,1.0,-0.4,18.0,14.6,3.4,
