Years,National defense:,DoD-Military (051),Other Defense,Total National defense,Nondefense:,International affairs,"General science, space and technology:",General science and basic research,Space and other technology,"Total general science, space and technology",Energy,Natural resources and environment,Agriculture,Commerce and housing credit,Transportation:,Ground transportation,Air transportation,Water and other transportation,Total transportation,Community and regional development,"Education, training, employment and social services:",Education,"Training, employment and social services","Total education, training, employment and social services",Health,Medicare,Income security:,Housing assistance,Other,Total income security,Social security,Veterans benefits and services,Administration of justice,General government,Allowances,Total Nondefense,Total discretionary budget authority,
1985,,"287,090","7,763","294,853",,"24,057",,"2,223","6,925","9,148","6,527","15,082","2,066","4,023",,"4,056","5,063","2,471","11,591","6,232",,"15,167","8,805","23,972","10,310","1,656",,"12,617","7,712","20,329","2,110","10,783","6,781","7,072",..........,"161,739","456,592",
1986,,"281,980","7,645","289,625",,"20,279",,"2,107","7,165","9,272","4,299","13,355","1,948","2,937",,"3,385","4,565","2,165","10,115","5,766",,"14,438","8,147","22,586","10,344","1,719",,"10,751","7,840","18,591","2,193","10,742","6,828","7,305",..........,"148,278","437,903",
1987,,"280,079","7,881","287,960",,"18,800",,"2,324","10,198","12,522","3,211","16,185","2,116","2,937",,"3,417","4,685","2,432","10,534","5,657",,"16,717","8,823","25,540","12,141","1,724",,"8,568","7,772","16,339","2,147","11,313","8,657","7,981",..........,"157,804","445,764",
1988,,"284,334","8,163","292,497",,"18,079",,"2,521","8,322","10,843","4,726","16,238","2,168","2,912",,"3,020","5,209","2,362","10,590","5,451",,"17,397","9,320","26,717","12,958","2,206",,"8,650","7,679","16,329","2,257","11,631","9,180","8,469",..........,"160,754","453,251",
1989,,"291,435","8,633","300,067",,"18,537",,"2,835","10,001","12,836","4,726","17,284","2,203","3,125",,"3,001","5,792","2,769","11,563","6,063",,"18,355","9,505","27,860","14,262","2,276",,"9,012","7,702","16,714","2,121","12,363","10,055","9,025",..........,"171,013","471,081",
1990,,"293,784","10,162","303,946",,"20,027",,"3,167","11,359","14,526","5,585","18,593","2,442","3,914",,"4,051","6,609","2,874","13,533","7,311",,"19,939","10,088","30,027","16,078","2,361",,"10,788","8,327","19,115","2,223","13,037","12,555","11,431",..........,"192,758","496,704",
1991,,"319,660","12,568","332,228",,"21,321",,"3,454","13,046","16,500","5,436","19,615","2,809","2,825",,"3,443","7,332","2,890","13,665","5,892",,"22,861","10,945","33,806","18,169","2,566",,"19,603","10,155","29,758","2,399","14,124","12,906","12,079",..........,"213,872","546,099",
1992,,"286,284","12,832","299,115",,"20,927",,"4,105","13,199","17,304","5,833","21,288","4,243","3,429",,"3,703","8,104","3,154","14,962","11,384",,"24,446","11,906","36,352","19,560","2,860",,"19,702","10,900","30,602","2,540","15,298","14,499","11,197",..........,"232,277","531,392",
1993,,"262,330","13,779","276,109",,"33,257",,"4,149","13,063","17,212","5,832","21,395","4,013","2,482",,"2,575","8,307","3,077","13,959","9,655",,"25,485","12,652","38,137","20,697","2,829",,"21,122","11,036","32,158","2,640","16,235","14,852","11,836",..........,"247,189","523,297",
1994,,"250,403","11,843","262,246",,"20,854",,"4,558","13,022","17,580","6,381","22,381","4,183","1,442",,"3,883","8,430","3,384","15,697","15,394",,"26,355","14,254","40,608","22,193","2,962",,"21,100","12,098","33,198","2,828","17,193","15,454","11,999",..........,"250,346","512,592",
1995,,"252,407","10,530","262,937",,"20,166",,"4,132","12,543","16,675","6,230","20,419","3,844","3,061",,"3,067","5,985","3,433","12,485","12,090",,"26,413","13,465","39,878","22,814","3,028",,"15,314","12,200","27,514","2,325","17,618","18,650","11,688",..........,"238,485","501,422",
1996,,"253,739","11,447","265,186",,"18,122",,"4,121","12,570","16,691","4,893","20,639","4,075","2,248",,"2,453","7,987","3,157","13,597","11,707",,"23,234","13,284","36,518","23,303","2,939",,"16,410","11,347","27,757","3,135","17,801","21,056","11,292",..........,"235,773","500,959",
1997,,"253,987","12,261","266,248",,"18,150",,"4,184","12,456","16,640","4,212","22,378","4,092","1,395",,"2,899","8,328","3,276","14,503","13,114",,"28,193","14,660","42,853","25,086","2,623",,"11,661","11,026","22,687","3,451","18,908","23,395","11,473",..........,"244,960","511,208",
1998,,"259,826","12,590","272,416",,"18,991",,"5,627","12,321","17,948","3,077","23,405","4,214",446,,"2,051","8,687","3,238","13,976","10,366",,"31,350","15,382","46,732","26,386","2,723",,"17,449","12,312","29,761","3,195","18,943","25,385","11,672",..........,"257,220","529,636",
1999,,"274,680","13,630","288,310",,"41,506",,"6,329","12,460","18,789","2,861","23,800","4,368",774,,"2,340","9,046","3,761","15,147","11,122",,"30,511","16,172","46,683","30,209","2,803",,"20,377","12,377","32,754","3,144","19,261","27,137","13,171",..........,"293,529","581,839",
2000,,"287,280","13,487","300,767",,"23,459",,"6,658","12,541","19,199","2,705","24,633","4,587","5,112",,"2,011","9,207","3,953","15,171","12,202",,"31,104","13,307","44,411","33,823","2,998",,"18,077","13,489","31,566","3,195","20,904","27,710","11,906",..........,"283,581","584,348",
2001,,"316,289","15,431","331,720",,"24,179",,"7,574","13,327","20,901","3,183","29,054","5,014","1,413",,"4,928","10,922","3,813","19,663","14,342",,"42,168","19,169","61,337","38,891","3,323",,"25,100","14,626","39,726","3,430","22,459","31,078","14,107",..........,"332,100","663,820",
2002,,"344,407","16,416","360,823",,"25,167",,"8,016","13,901","21,917","3,247","29,614","5,634",603,,"4,810","14,106","4,483","23,399","22,721",,"51,550","19,764","71,314","45,787","3,805",,"26,945","15,748","42,692","3,504","24,043","35,434","15,075",..........,"373,956","734,780",
2003,,"437,495","17,487","454,982",,"33,483",,"8,561","14,386","22,947","3,243","30,139","6,180",-299,,"2,958","17,790","5,836","26,584","16,402",,"55,309","19,809","75,118","49,395","3,795",,"28,771","15,484","44,256","3,797","26,614","35,741","17,071",..........,"394,466","849,448",
2004,,"467,598","18,059","485,657",,"49,333",,"9,045","14,321","23,366","3,586","31,134","5,838",-13,,"2,894","14,890","5,770","23,554","17,435",,"57,965","20,214","78,179","51,713","5,350",,"29,576","15,634","45,210","4,133","29,231","37,882","16,866",..........,"422,798","908,454",
2005,,"478,911","20,908","499,819",,"34,727",,"9,002","15,243","24,245","3,831","31,885","5,916","2,620",,"4,450","15,194","5,823","25,467","82,402",,"59,594","20,622","80,216","54,516","4,000",,"29,108","16,666","45,774","4,436","32,324","39,417","15,908",..........,"487,684","987,504",
2006,,"534,490","22,004","556,494",,"35,882",,"9,156","15,765","24,921","3,787","38,031","6,147","1,863",,"6,673","15,645","6,485","28,803","14,048",,"60,898","20,057","80,955","56,489","4,912",,"31,170","16,526","47,696","4,633","34,205","41,118","16,710",..........,"440,200","996,694",
2007,,"600,906","21,448","622,354",,"39,108",,"9,692","15,580","25,272","4,135","32,849","8,715","1,832",,"4,188","15,833","7,328","27,349","17,866",,"60,253","20,221","80,474","52,434","4,869",,"34,329","16,560","50,888","4,683","38,270","44,551","16,629",..........,"449,924","1,072,278",
2008,,"665,962","19,934","685,896",,"43,219",,"10,109","16,580","26,689","5,010","37,024","6,597","3,200",,"4,681","16,314","7,759","28,754","37,773",,"59,824","20,205","80,029","53,403","4,939",,"35,040","18,194","53,234","5,015","43,778","47,737","17,351",..........,"493,752","1,179,648",
2009,,"666,355","28,421","694,776",,"53,433",,"15,880","18,134","34,014","42,773","55,562","6,509","15,714",,"50,976","19,556","8,662","79,194","23,398",,"157,576","30,331","187,907","83,148","5,680",,"48,570","26,324","74,894","6,387","49,381","54,731","24,529",..........,"797,254","1,492,030",
2010,,"690,469","23,589","714,058",,"57,028",,"11,769","18,228","29,997","3,719","36,773","7,329","7,050",,"8,584","18,522","8,950","36,056","21,458",,"67,163","22,318","89,481","58,537","6,246",,"42,271","23,409","65,680","5,764","53,274","52,975","18,838",..........,"550,205","1,264,263",
2011,,"687,025","23,111","710,136",,"50,360",,"11,635","17,913","29,548","4,639","33,104","5,805","-5,661",,"3,825","18,346","9,208","31,379","14,915",,"71,143","20,655","91,798","54,593","6,003",,"41,647","21,883","63,530","5,638","56,633","51,063","17,232",..........,"510,579","1,220,715",
2012,,"645,500","24,089","669,589",,"54,341",,"11,898","17,200","29,098","4,709","34,815","5,883","-2,050",,"6,295","18,598","8,881","33,774","18,548",,"70,195","21,425","91,620","56,153","6,312",,"39,769","22,104","61,873","5,815","58,865","51,424","16,867",..........,"528,047","1,197,636",
2013,,"577,469","22,902","600,371",,"51,886",,"11,498","16,350","27,848","4,117","38,969","5,552","-15,065",,"16,819","17,316","8,772","42,907","44,593",,"68,396","20,271","88,667","53,249","5,983",,"39,177","20,743","59,920","5,385","61,610","48,862","15,367",..........,"539,850","1,140,221",
2014,,"581,456","24,734","606,190",,"50,902",,"12,235","17,081","29,316","5,032","34,586","5,981","-6,340",,"4,629","18,139","8,587","31,355","16,808",,"70,106","21,624","91,730","56,455","6,200",,"42,556","23,106","65,662","4,871","63,547","52,213","19,189",..........,"527,507","1,133,697",
2015,,"560,442","25,444","585,886",,"54,180",,"12,408","17,368","29,776","4,490","34,610","6,946","-10,055",,"4,727","17,782","8,566","31,075","17,489",,"69,975","21,729","91,704","59,378","6,553",,"42,483","22,661","65,144","5,422","65,309","52,021","16,740",..........,"530,782","1,116,668",
2016,,"580,290","26,555","606,845",,"55,027",,"12,814","18,651","31,465","5,599","37,168","6,192","-5,693",,"4,854","18,306","9,367","32,527","18,502",,"71,536","22,679","94,215","60,603","6,605",,"44,383","22,939","67,322","5,674","71,128","55,170","18,359",..........,"559,863","1,166,708",
2017,,"605,941","28,113","634,054",,"59,547",,"12,884","19,182","32,066","4,930","38,200","6,358","-8,643",,"7,031","18,463","8,891","34,385","35,532",,"70,259","23,096","93,355","62,664","6,551",,"45,434","22,369","67,803","5,720","74,602","56,185","16,679",..........,"585,934","1,219,988",
2018,,"670,710","30,219","700,929",,"56,154",,"14,088","20,129","34,217","6,586","59,027","8,867","-1,973",,"13,044","20,213","11,871","45,128","94,338",,"76,926","25,014","101,940","69,201","7,346",,"49,688","24,562","74,250","6,028","81,956","61,081","17,754",..........,"721,900","1,422,829",
2019 estimate,,"684,991","31,009","716,000",,"55,875",,"14,281","20,052","34,333","6,707","39,845","6,542","-1,431",,"11,345","19,975","11,078","42,398","23,036",,"74,061","24,254","98,315","71,081","7,443",,"49,689","24,339","74,028","6,075","86,919","52,497","18,067",-998,"620,732","1,336,732",
2020 estimate,,"718,349","31,651","750,000",,"42,689",,"12,540","20,353","32,893","-1,851","33,059","6,587","2,629",,"6,702","18,268","9,835","34,805","27,457",,"64,617","20,779","85,396","44,649","7,053",,"44,219","19,750","63,969","5,593","93,311","66,102","19,485","-1,052","562,774","1,312,774",
2021 estimate,,"713,465","32,535","746,000",,"42,727",,"12,540","20,353","32,893","3,606","33,384","5,142","-1,283",,"6,966","17,026","9,849","33,841","15,686",,"66,528","20,726","87,254","65,094","7,081",,"44,266","20,761","65,027","5,596","105,195","69,138","19,917","-51,993","538,305","1,284,305",
2022 estimate,,"726,996","33,004","760,000",,"42,712",,"12,540","20,353","32,893","3,610","33,381","5,142","-1,793",,"6,966","16,622","9,864","33,452","15,686",,"66,498","20,726","87,224","65,184","7,106",,"44,266","20,827","65,093","5,613","105,177","70,521","20,511","-64,896","526,616","1,286,616",
2023 estimate,,"741,549","36,451","778,000",,"42,700",,"12,540","20,353","32,893","3,620","33,376","5,142","-1,914",,"6,966","16,553","9,879","33,398","15,686",,"66,498","20,726","87,224","65,789","7,132",,"44,266","21,025","65,291","5,601","105,058","72,252","21,113","-77,849","516,512","1,294,512",
2024 estimate,,"746,720","37,280","784,000",,"42,689",,"12,540","20,353","32,893","3,633","33,377","5,142","-1,978",,"6,966","16,484","9,896","33,346","15,686",,"66,498","20,726","87,224","65,129","7,159",,"44,266","21,267","65,533","5,596","104,946","73,770","21,733","-90,349","505,529","1,289,529",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
